bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug
Bee,Apis mellifera,137.78585416666667,82.0,98.0,125.0,41.51759547181145,45.32117091181391,51.20761591548066,383056.0,1.4142135623730951,1.5920708055555555,0.015960666666666668,0.0,0.0,9.0,255.0,254.0,255.0,80.78055688985422,94.87885844367403,123.58951432688693
Bee,Apis mellifera,144.105625,62.0,84.0,100.0,34.577447206776284,40.779495418282835,46.72087409835105,403361.0,1.0003574386444674,1.462497625,0.016806708333333333,0.0,0.0,13.0,255.0,255.0,255.0,66.91029623587804,87.01905489127606,107.12669792072114
Bee,Apis mellifera,104.82091991666667,66.0,110.0,117.0,44.37497448299413,47.316375523208166,48.48137159819929,355000.0,1.000959650636669,1.4998859583333333,0.014791666666666667,0.0,0.0,3.0,255.0,255.0,255.0,74.72309014084507,106.66628169014085,122.81285070422535
Bee,Apis mellifera,91.6250995,88.0,110.0,133.0,48.838744966496066,47.94826171025702,49.88789876042,329745.0,1.0,1.5848938888888888,0.013739375,0.0,0.0,17.0,255.0,255.0,255.0,96.12440825486361,112.89966185992206,137.03837207539158
Bee,Apis mellifera,137.03711641666666,63.0,96.0,106.0,33.291459253625874,38.378635814192705,37.61886929520965,296999.0,1.4142135623730951,1.0805960694444445,0.012374958333333333,0.0,0.0,7.0,255.0,255.0,255.0,65.91770679362557,88.38125717595008,107.66460156431503
Bee,Apis mellifera,149.423241,49.0,61.0,88.0,45.91920867052079,47.40641279561773,55.176732906759455,464079.0,1.0013630813880217,1.421604138888889,0.019336625,0.0,0.0,8.0,255.0,255.0,255.0,60.56009644909595,68.29882627742259,91.69727136974524
Bee,Apis mellifera,128.32204408333334,97.0,104.0,119.0,45.57098349711393,37.92597211324466,41.17356949408644,385051.0,1.0,1.7384210833333333,0.016043791666666668,0.0,3.0,14.0,255.0,207.0,235.0,100.20733097693552,101.78055374482861,123.07637429846956
Bee,Apis mellifera,160.08966041666667,99.0,111.0,162.0,66.66994484915563,59.33762373155934,68.41924353979219,331522.0,1.4142135623730951,1.6383607083333334,0.013813416666666667,0.0,0.0,9.0,255.0,255.0,255.0,103.90161437250016,105.82878964291963,146.08903179879465
Bee,Apis mellifera,118.83758775,77.0,103.0,119.0,45.55266135576708,47.23387425382862,46.68012376230544,402574.0,1.3743685418725535,1.6565901805555556,0.016773916666666666,0.0,0.0,4.0,255.0,255.0,255.0,81.48323538032759,98.59271587335496,116.20372155181407
Bee,Megachile centuncularis,144.59529725,38.0,44.0,75.0,39.572557564808086,34.653588575305406,44.13648419192887,540115.0,1.0,1.343971875,0.022504791666666666,0.0,0.0,0.0,255.0,255.0,255.0,50.16551104857299,51.63431491441637,77.35826999805597
