bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area,Orthogonal_Lines,Mean_Intensity
Bee,Apis mellifera,143.94824216666666,24.0,37.0,56.0,36.250746957434146,45.31119677847548,47.95539885174279,178273.0,1.3416407864998738,0.4032447638888889
Bee,Apis mellifera,137.08676025,19.0,34.0,55.0,34.61711714800906,42.86612366915124,42.153507582366665,205272.0,1.2747548783981961,0.43221529166666667
Bee,Apis mellifera,152.48342616666667,52.0,86.0,114.0,54.82359568930629,60.057604243233335,58.771358737184265,530235.0,1.0,1.902616375
Bee,Apis mellifera,142.10591625,36.0,61.0,88.0,37.44562069722333,46.085759935789255,46.32258744701998,316497.0,1.3416407864998738,0.9189518055555556
Bee,Apis mellifera,118.636537,63.0,91.0,134.0,60.62496157686179,63.02935460689056,62.355944159379916,219951.0,1.0004605470641024,0.9318014444444445
Bee,Apis mellifera,99.32207333333334,55.0,78.0,109.0,48.98237133306402,51.367935803176394,49.635040301149346,142004.0,1.0016550855683923,0.4994303333333333
Bee,Apis mellifera,107.8696285,42.0,70.0,87.0,34.7312952618144,36.76008197680016,41.378749685595174,135810.0,1.5811388300841895,0.4061686388888889
Bee,Apis mellifera,132.83876191666667,24.0,31.0,47.0,37.34231347870207,35.56519093883657,35.66732309580171,178898.0,1.3416407864998738,0.3373578611111111
Bee,Apis mellifera,139.06205216666666,57.0,64.0,93.0,54.63180011861356,51.89471512942587,52.732799317948796,172786.0,1.0008005646035583,0.5453836666666667
Bee,Apis mellifera,131.86875333333333,45.0,48.0,80.0,50.82663964478941,48.940955589111375,52.421580903079956,378803.0,1.0013484385632025,1.0893198194444444
Bee,Apis mellifera,146.93346208333332,80.0,90.0,124.0,46.70092122044392,42.444656220199164,45.803679936669866,327142.0,1.0,1.3258072777777778
Bee,Apis mellifera,149.491912,73.0,72.0,108.0,51.19626268048717,37.59269577267751,44.65068681391222,432962.0,1.001194400272007,1.609888
Bee,Apis mellifera,106.81567716666666,43.0,71.0,100.0,39.571520268566786,42.876857840358,47.95069201817519,391680.0,1.000105694988223,1.2831033472222222
Bee,Apis mellifera,130.45986941666666,91.0,103.0,136.0,51.476520825641344,48.880828105755334,52.058052457108026,263905.0,1.0022231125748158,1.2608750277777778
Bee,Apis mellifera,137.78585416666667,82.0,98.0,125.0,41.51759547181145,45.32117091181391,51.20761591548066,383056.0,1.4142135623730951,1.5920708055555555
Bee,Apis mellifera,144.105625,62.0,84.0,100.0,34.577447206776284,40.779495418282835,46.72087409835105,403361.0,1.0003574386444674,1.462497625
Bee,Apis mellifera,104.82091991666667,66.0,110.0,117.0,44.37497448299413,47.316375523208166,48.48137159819929,355000.0,1.000959650636669,1.4998859583333333
Bee,Apis mellifera,91.6250995,88.0,110.0,133.0,48.838744966496066,47.94826171025702,49.88789876042,329745.0,1.0,1.5848938888888888
Bee,Apis mellifera,137.03711641666666,63.0,96.0,106.0,33.291459253625874,38.378635814192705,37.61886929520965,296999.0,1.4142135623730951,1.0805960694444445
Bee,Apis mellifera,149.423241,49.0,61.0,88.0,45.91920867052079,47.40641279561773,55.176732906759455,464079.0,1.0013630813880217,1.421604138888889
Bee,Apis mellifera,128.32204408333334,97.0,104.0,119.0,45.57098349711393,37.92597211324466,41.17356949408644,385051.0,1.0,1.7384210833333333
Bee,Apis mellifera,160.08966041666667,99.0,111.0,162.0,66.66994484915563,59.33762373155934,68.41924353979219,331522.0,1.4142135623730951,1.6383607083333334
Bee,Apis mellifera,118.83758775,77.0,103.0,119.0,45.55266135576708,47.23387425382862,46.68012376230544,402574.0,1.3743685418725535,1.6565901805555556
Bee,Megachile centuncularis,144.59529725,38.0,44.0,75.0,39.572557564808086,34.653588575305406,44.13648419192887,540115.0,1.0,1.343971875
Bee,Apis mellifera,183.9960835,87.0,93.0,103.0,47.7912301368526,49.1074491485846,49.20952044392483,275555.0,1.4999999999999998,1.0312940972222222
Bee,Andrenidae,169.052627,86.0,87.0,110.0,64.9440372654264,56.55186380187379,66.5492462806738,393328.0,1.0010135228813004,1.5123003055555555
