bug type,MLP_Recognition
Bee,True
Bee,True
Bee,
Bumblebee,
Bee,
Bee,
Bee,
Bumblebee,
Bee,False
Other,
Other,
Other,
Other,
Other,
Bee,
Bee,
Bee,
Bee,True
Bee,
Bee,False
Bumblebee,
Bee,True
Bumblebee,
Bee,
Other,
Other,
Bumblebee,
Bee,True
Bee,False
Bumblebee,
Bee,
Bee,
Bumblebee,
Bee,False
Bee,
Bee,True
Bumblebee,
Bumblebee,
Bee,
Bee,True
Bumblebee,
Bumblebee,
Bee,
Bumblebee,
Bee,True
Bumblebee,
Bee,
Bee,
Bee,True
Bee,
